rank,ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio,sector_rank,composite_score,buckets_used,valuation_bucket_score,quality_bucket_score,leverage_bucket_score,growth_bucket_score,trailing_pe_score,ev_to_ebitda_score,return_on_equity_score,net_margin_score,debt_to_equity_ratio_score,revenue_growth_score
38,MAZDOCK.NS,infra_logistics_defense,2026-07-16T05:44:40.496230+00:00,958713233408,2376.7,37.014484,36.704,0.2877,4.481,0.213,0.19863,1.333313172483926,4473699840.0,97548800000.0,True,,0.0448099999999999,2,0.6472727272727273,4,0.2863636363636364,0.8590909090909091,0.7,0.8181818181818182,0.30000000000000004,0.2727272727272727,0.9,0.8181818181818182,0.7,0.8181818181818182
39,ALKEM.NS,pharma_healthcare,2026-07-16T05:42:39.688476+00:00,678710738944,5676.5,29.459234,21.718,0.17557,14.267,0.146,0.15645,1.0645559728221938,20471599104.0,138201000000.0,True,,0.14267,3,0.6472222222222223,4,0.7222222222222223,0.6944444444444444,0.5,0.6111111111111112,0.7777777777777778,0.6666666666666667,0.7222222222222222,0.6666666666666666,0.5,0.6111111111111112
40,EICHERMOT.NS,auto,2026-07-16T05:42:14.100980+00:00,2030321008640,7396.5,36.81499,34.142,0.23774,2.048,0.191,0.23562,0.9154355651261048,5139500032.0,251001500000.0,True,,0.02048,3,0.6470588235294118,4,0.29411764705882354,0.8823529411764706,0.8235294117647058,0.6470588235294118,0.47058823529411764,0.11764705882352944,0.7647058823529411,1.0,0.8235294117647058,0.6470588235294118
41,MARUTI.NS,auto,2026-07-16T05:42:09.392715+00:00,4318004772864,13734.0,29.426638,19.1,0.14434,0.096,0.282,0.08008,1.6830564325195998,1025000000.0,1071563000000.0,True,,0.00096,3,0.6470588235294118,4,0.5588235294117647,0.5,0.9411764705882353,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.35294117647058826,0.6470588235294118,0.9411764705882353,0.7058823529411765
42,INFY.NS,it,2026-07-16T05:41:03.842600+00:00,4410902052864,1089.4,14.648379,,0.31439,9.827,0.066,0.16434999,2.05988146331494,967000000.0,9786000000.0,True,,0.09827,2,0.6458333333333333,4,0.8333333333333334,0.875,0.33333333333333337,0.3333333333333333,0.8333333333333334,,0.9166666666666666,0.8333333333333334,0.33333333333333337,0.3333333333333333
43,GLAND.NS,pharma_healthcare,2026-07-16T05:42:46.628741+00:00,420746166272,2550.6,40.99984,22.986,0.10532,2.738,0.223,0.15975,0.6208419619712395,2835899904.0,103579500000.0,True,,0.02738,4,0.6416666666666667,4,0.5833333333333334,0.4444444444444444,0.8333333333333334,0.8333333333333334,0.5555555555555556,0.6111111111111112,0.16666666666666666,0.7222222222222222,0.8333333333333334,0.8333333333333334
44,GNFC.NS,chemicals,2026-07-16T05:44:03.296397+00:00,74800152576,509.05,9.173724,6.292,0.091350004,0.066,0.074,0.10395,0.8527701590784421,60000000.0,91150000000.0,True,,0.00066,3,0.640909090909091,4,0.8181818181818181,0.40909090909090906,0.9090909090909091,0.45454545454545453,0.8181818181818181,0.8181818181818181,0.2727272727272727,0.5454545454545454,0.9090909090909091,0.45454545454545453
45,SUPREMEIND.NS,capital_goods,2026-07-16T05:43:47.735052+00:00,448535199744,3529.5,47.022385,28.018,0.16128999,1.473,0.165,0.085039996,1.804964119389146,908400000.0,61690700000.0,True,,0.01473,5,0.6358823529411765,4,0.7647058823529411,0.5313725490196078,0.5882352941176471,0.6470588235294118,0.7058823529411764,0.8235294117647058,0.5333333333333333,0.5294117647058824,0.5882352941176471,0.6470588235294118
46,ADANIPORTS.NS,infra_logistics_defense,2026-07-16T05:44:29.548847+00:00,4271309848576,1853.9,31.799314,21.412,0.15592,64.051,0.265,0.33060002,0.4029716422211426,633989890048.0,961253000000.0,True,,0.64051,3,0.6336363636363636,4,0.5227272727272727,0.85,0.19999999999999996,0.9090909090909091,0.5,0.5454545454545454,0.7,1.0,0.19999999999999996,0.9090909090909091
47,HINDCOPPER.NS,metals_mining,2026-07-16T05:43:16.400185+00:00,477129637888,493.4,51.99157,32.037,0.30602,3.319,0.581,0.29843,0.9209290914041393,1109200000.0,33421900000.0,True,,0.03319,5,0.63,4,0.0,0.9,0.8666666666666667,0.9333333333333333,0.0,0.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.9333333333333333
